Enschede, Nederland	lol goedzo en die andere ask was niet van moi — yay https://t.co/sqD7WQyLaA
Enschede	@mondetmoi En het warme weer helpt ook niet echt mee voor een fris en goed functionerend hoofd vrees ik 😅
Enschede, Overijssel	RT @BergMichael: Vanavond 19.30 uur in boekhandel @BoekEnschede de 'Thrillersessies' met Patricia Snel, Ate de Jong et moi. https://t.co/u8…
Enschede	Ook langs de #eemskade #amersfoort waar @yttap67 en moi een dagje… https://t.co/bXORsbu7jx
Enschede	Ik heb een nieuwe foto op Facebook geplaatst https://t.co/moi059UGse
Enschede, The Netherlands	@Webgrrlnl Thanks! Enne er is er hier maar 1 die het spannend vind...moi ;-)
Enschede	@mondetmoi Jij kan dit. Succes! 💪
Enschede The Netherlands	@ronnie_tober @BoswachterFrans @lydiasmits @analons @xxxjettexxx moin veel regen maar laat de zo'n in je hart schijnen vandaag
Enschede, the Netherlands	Ik vind een @YouTube-video van @milomoire leuk: https://t.co/ZiX2pPNBfs MIRROR BOX | Performance by Milo Moiré -censored-
