Enschede	1 op 5 inwoners Wassenaar is niet in Nederland geboren. Waar wel? Veel in VS. Jouw gemeente? https://t.co/w5GweVB6RB https://t.co/eLEB2PpMoi
Enschede , Utrecht	RT @jorisluyendijk: Het is tijd voor de EU om afscheid te nemen van de Engelsen.\nhttps://t.co/2TjXdl8Ec8 \nMoi in NRC over wat het Brexit de…
Enschede	Flexconsultant vacatures bij AB Oost | NationaleVacaturebank.nl https://t.co/jMoiwjmzN6
Enschede, the Netherlands	Ik vind een @YouTube-video van @milomoire leuk: https://t.co/ZiX2pPNBfs MIRROR BOX | Performance by Milo Moiré -censored-
Enschede, the Netherlands	Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/ZiX2pPNBfs MIRROR BOX | Performance by Milo Moiré -censored-
Enschede The Netherlands	@Peetje38 Moin Peet, tis geen mooi weer maar ik wens je een hele mooie zondag.. relax !!!
